CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
931cd589197c;airflow-redis-1;0.17%;13.61MiB / 7.463GiB;0.18%;961kB / 813kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.18%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;30.62%; 276MiB / 7.463GiB;3.61%;37.2MB / 37.8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;68.33%; 1.076GiB / 7.463GiB;14.42%; 12.6MB / 7.09MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;95.24%; 308.5MiB / 7.463GiB;4.04%;5.56MB / 7.09MB;0B / 0B;9
7f1a097997c1;airflow-minio-1;0.12%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;1.67%;414MiB / 7.463GiB;5.42%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;14.61%; 83.48MiB / 7.463GiB;1.09%;51.3MB / 56.4MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.17%;13.61MiB / 7.463GiB;0.18%;961kB / 813kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.06%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.91%;276.1MiB / 7.463GiB;3.61%;37.3MB / 37.8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;13.37%; 1.076GiB / 7.463GiB;14.42%; 12.7MB / 7.13MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;64.04%; 225.6MiB / 7.463GiB;2.95%;5.57MB / 7.09MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.08%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;4.67%;417.4MiB / 7.463GiB;5.46%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;5.06%;83.59MiB / 7.463GiB;1.09%;51.3MB / 56.5MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.13%;13.61MiB / 7.463GiB;0.18%;961kB / 814kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.06%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.91%;276.1MiB / 7.463GiB;3.61%;37.3MB / 37.8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;13.37%; 1.076GiB / 7.463GiB;14.42%; 12.7MB / 7.13MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;64.04%; 225.6MiB / 7.463GiB;2.95%;5.57MB / 7.09MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.08%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;4.67%;417.4MiB / 7.463GiB;5.46%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;5.06%;83.59MiB / 7.463GiB;1.09%;51.3MB / 56.5MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.13%;13.61MiB / 7.463GiB;0.18%;961kB / 814kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.19%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.64%;276.1MiB / 7.463GiB;3.61%;37.3MB / 37.8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;28.61%; 1.076GiB / 7.463GiB;14.42%; 12.9MB / 7.2MB; 0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.50%;225.6MiB / 7.463GiB;2.95%;5.57MB / 7.1MB; 0B / 0B;7
7f1a097997c1;airflow-minio-1;0.11%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;1.49%;420.3MiB / 7.463GiB;5.50%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;9.08%;83.68MiB / 7.463GiB;1.09%;51.4MB / 56.7MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.15%;13.61MiB / 7.463GiB;0.18%;962kB / 815kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.19%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.64%;276.1MiB / 7.463GiB;3.61%;37.3MB / 37.8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;28.61%; 1.076GiB / 7.463GiB;14.42%; 12.9MB / 7.2MB; 0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.50%;225.6MiB / 7.463GiB;2.95%;5.57MB / 7.1MB; 0B / 0B;7
7f1a097997c1;airflow-minio-1;0.11%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;1.49%;420.3MiB / 7.463GiB;5.50%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;9.08%;83.68MiB / 7.463GiB;1.09%;51.4MB / 56.7MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.15%;13.61MiB / 7.463GiB;0.18%;962kB / 815kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.07%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.93%;276.1MiB / 7.463GiB;3.61%;37.3MB / 37.8MB;0B / 0B;4
