CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;15.50%;57.99MiB / 7.463GiB;0.76%;8.08MB / 9.11MB;0B / 0B;22
931cd589197c;airflow-redis-1;0.16%;9.109MiB / 7.463GiB;0.12%;148kB / 123kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;59.75%;1.492GiB / 7.463GiB;19.99%;144kB / 169kB;0B / 0B;23
bc99e134b647;airflow-airflow-scheduler-1;31.50%;295.9MiB / 7.463GiB;3.87%;5.08MB / 5.21MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;12.16%;1.098GiB / 7.463GiB;14.71%;2.62MB / 1.54MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.88%;174.2MiB / 7.463GiB;2.28%;870kB / 1.11MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.12%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;9.87%;59.77MiB / 7.463GiB;0.78%;8.15MB / 9.21MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.25%;9.117MiB / 7.463GiB;0.12%;153kB / 126kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;59.75%;1.492GiB / 7.463GiB;19.99%;144kB / 169kB;0B / 0B;23
bc99e134b647;airflow-airflow-scheduler-1;31.50%;295.9MiB / 7.463GiB;3.87%;5.08MB / 5.21MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;12.16%;1.098GiB / 7.463GiB;14.71%;2.62MB / 1.54MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.88%;174.2MiB / 7.463GiB;2.28%;870kB / 1.11MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.12%;123.5MiB / 7.463GiB;1.62%;15.1kB / 4.12kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.00%;17.38MiB / 7.463GiB;0.23%;1.24kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;9.87%;59.77MiB / 7.463GiB;0.78%;8.15MB / 9.21MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.25%;9.117MiB / 7.463GiB;0.12%;153kB / 126kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;68.98%;1.611GiB / 7.463GiB;21.58%;221kB / 247kB;0B / 0B;25
bc99e134b647;airflow-airflow-scheduler-1;6.21%;296MiB / 7.463GiB;3.87%;5.1MB / 5.23MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;1.56%;1.098GiB / 7.463GiB;14.71%;2.62MB / 1.54MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.90%;174.2MiB / 7.463GiB;2.28%;875kB / 1.11MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;3.27%;123.6MiB / 7.463GiB;1.62%;16.1kB / 5.72kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.37%;17.38MiB / 7.463GiB;0.23%;1.29kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;13.49%;60.03MiB / 7.463GiB;0.79%;8.25MB / 9.31MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.72%;9.117MiB / 7.463GiB;0.12%;154kB / 127kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;68.98%;1.611GiB / 7.463GiB;21.58%;221kB / 247kB;0B / 0B;25
bc99e134b647;airflow-airflow-scheduler-1;6.21%;296MiB / 7.463GiB;3.87%;5.1MB / 5.23MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;1.56%;1.098GiB / 7.463GiB;14.71%;2.62MB / 1.54MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.90%;174.2MiB / 7.463GiB;2.28%;875kB / 1.11MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;3.27%;123.6MiB / 7.463GiB;1.62%;16.1kB / 5.72kB;0B / 0B;21
be91543aa019;airflow-db_kap-1;0.37%;17.38MiB / 7.463GiB;0.23%;1.29kB / 0B;0B / 0B;7
8a393fb6dae8;airflow-postgres-1;13.49%;60.03MiB / 7.463GiB;0.79%;8.25MB / 9.31MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.72%;9.117MiB / 7.463GiB;0.12%;154kB / 127kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;72.96%;1.694GiB / 7.463GiB;22.69%;5.77MB / 3.89MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.92%;295.2MiB / 7.463GiB;3.86%;5.12MB / 5.25MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.09%;1.098GiB / 7.463GiB;14.71%;2.62MB / 1.54MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.33%;174.2MiB / 7.463GiB;2.28%;881kB / 1.12MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.08%;125.5MiB / 7.463GiB;1.64%;23.7kB / 5.52MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;19.47%;24.11MiB / 7.463GiB;0.32%;3.63MB / 28kB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;6.37%;59.89MiB / 7.463GiB;0.78%;8.28MB / 9.33MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.11%;9.102MiB / 7.463GiB;0.12%;154kB / 127kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;72.96%;1.694GiB / 7.463GiB;22.69%;5.77MB / 3.89MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.92%;295.2MiB / 7.463GiB;3.86%;5.12MB / 5.25MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.09%;1.098GiB / 7.463GiB;14.71%;2.62MB / 1.54MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.33%;174.2MiB / 7.463GiB;2.28%;881kB / 1.12MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;1.08%;125.5MiB / 7.463GiB;1.64%;23.7kB / 5.52MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;19.47%;24.11MiB / 7.463GiB;0.32%;3.63MB / 28kB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;6.37%;59.89MiB / 7.463GiB;0.78%;8.28MB / 9.33MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.11%;9.102MiB / 7.463GiB;0.12%;154kB / 127kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;67.98%;1.693GiB / 7.463GiB;22.68%;11.3MB / 9.4MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.88%;294.8MiB / 7.463GiB;3.86%;5.13MB / 5.27MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;2.71%;1.098GiB / 7.463GiB;14.71%;2.64MB / 1.55MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.80%;174.2MiB / 7.463GiB;2.28%;885kB / 1.13MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.91%;125.5MiB / 7.463GiB;1.64%;27kB / 11MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;21.74%;30.16MiB / 7.463GiB;0.39%;9.14MB / 66.4kB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;2.11%;59.91MiB / 7.463GiB;0.78%;8.32MB / 9.37MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.14%;9.102MiB / 7.463GiB;0.12%;155kB / 128kB;0B / 0B;6
